backCamImage,frontCamImage,numberFrontCam,numberBackCam,vehicleNumberUser,vehicleTypeUser,vehicleRfid,metroText,serial,numberFrontCam1
54,2023-07-17/067f3649-f334-4060-bea9-54820f84c858_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 06 0D 1D 2F 00 01 ,,,-1
55,2023-07-17/508d24b0-535d-43ae-88c6-8996785e7071_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 1A 0E 09 C2 00 01 ,,,-1
56,2023-07-17/9931aebb-0647-4d35-ae36-0bea49dc0103_f.jpg,-1,-1,1,Others,42 52 54 41 FF 02 0A 13 01 93 00 01 ,,,-1
57,2023-07-17/7ec4f58a-5971-4e3f-8322-f2fa028e2ffa_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 43 0F 0B 01 37 00 01 ,,,-1
58,2023-07-17/ebac8d49-97fc-4bf3-9a35-0c9bff611eef_f.jpg,৫-৪৫৮৯,-1,5589,Sedan Car,42 52 54 41 FF 02 1A 0F 11 ED 00 01 ,,,৫-৪৫৮৯
59,2023-07-17/a214f043-9a64-40bb-8b78-913f19b983ca_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 05 33 0A E0 00 01 ,,,-1
60,2023-07-17/cc76be4a-9bfa-4b74-95d1-559c8067af29_f.jpg,১৭-১৩১২,-1,171312,4 Wheelers,42 52 54 41 FF 02 1A 11 05 20 00 01 ,,,১৭-১৩১২
61,2023-07-17/9135964b-bc37-470b-aceb-08d5bc46b792_f.jpg,৩-১৫০৬,-1,31506,4 Wheelers,42 52 54 41 FF 02 1A 0D 05 E2 00 01 ,,,৩-১৫০৬
62,2023-07-17/8a4c154e-c2b1-4430-93ab-875a18fa48fc_f.jpg,-1,-1,1,Others,42 52 54 41 FF 14 1E 0B 00 E5 00 01 ,,,-1
63,2023-07-17/428c4228-0027-4216-81c1-3e24c1badb61_f.jpg,,-1,NULL,NULL,42 52 54 41 FF 02 0F 2B 21 61 00 01 ,,,
64,2023-07-17/386b9c61-8b54-44a8-823e-4a548a542f94_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 09 12 15 CE 00 01 ,,,-1
65,2023-07-17/4174e247-86ee-448e-9de2-24715a247164_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 12 0B 06 01 00 01 ,,,-1
66,2023-07-17/354b0bdf-c957-4c03-80ca-d496a3567456_f.jpg,-1,-1,NULL,NULL,16 13 04 04 08 16 00 00 00 00 95 82 ,,,-1
67,2023-07-17/709725a4-5b95-4479-bf0d-199d37136602_f.jpg,-1,-1,1,Motorcycle,16 13 04 04 08 16 00 00 00 00 95 82 ,,,-1
68,2023-07-17/3b358fbe-a4ef-4d69-91eb-1df5687a482f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 06 17 00 01 ,,,-1
69,2023-07-17/1145e136-de0b-4b37-90ed-27c88cbe7689_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 0F D5 00 01 ,,,-1
70,2023-07-17/eb31b3d9-6576-4f42-97ca-3d6840155c20_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 16 14 11 0B 8F 00 01 ,,,-1
71,2023-07-17/78f08cd1-4264-479b-9538-99670d1fa8f3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 0F 15 10 00 01 ,,,-1
72,2023-07-17/f62fae46-3cd5-4f06-bfaa-894689e341f0_f.jpg,৪৩-৩৯৬৩,-1,33963,Sedan Car,42 52 54 41 FF 02 0F 2B 0F 7B 00 01 ,,,৪৩-৩৯৬৩
73,2023-07-17/120c8725-6daf-49f7-8787-a25d27e43a86_f.jpg,৪১-৩৮৩১,-1,NULL,NULL,42 52 54 41 FF 02 07 47 0E F7 00 01 ,,,৪১-৩৮৩১
74,2023-07-17/7a345fff-61b4-4dd8-b31d-59536347af8b_f.jpg,৬-৩9৬8,-1,63964,4 Wheelers,42 52 54 41 FF 02 19 10 0E 96 00 01 ,,,৬-৩9৬8
75,2023-07-17/d8b9a5c9-c0eb-40f4-b550-658a7d998c1e_f.jpg,-1,,NULL,NULL,42 52 54 41 FF 02 19 33 1A 4C 00 01 ,,,-1
76,2023-07-17/54cdd109-dda8-4df6-b6c5-70fefc83e9a0_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 24 13 0B 0E AD 00 01 ,,,-1
77,2023-07-17/1ba874d1-3eb9-4d00-af1d-676a6804b367_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 0F 1B 2F 00 01 ,,,-1
78,2023-07-17/3066d5f7-f1ad-421f-9b59-955fe62b36a5_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 15 A3 00 01 ,,,-1
79,2023-07-17/47c2f732-8acd-4720-9322-0a9d6f1e89e2_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 1A 12 02 1B 00 01 ,,,-1
80,2023-07-17/d061a658-d382-411d-86f1-57f8bf0e9e4f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 14 0C 0C 55 00 01 ,,,-1
81,2023-07-17/28edfd6d-4053-4af2-84f0-496cfb9b3059_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 1E 0F 24 A5 00 01 ,,,-1
82,2023-07-17/54c8bbcb-a53b-486b-8775-0d7d9904c130_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 25 06 8B 00 01 ,,,-1
83,2023-07-17/451b0a4e-6b54-45a1-b37d-6fa69ed76e4e_f.jpg,,-1,1,4 Wheelers,42 52 54 41 FF 02 0A 0D 22 EB 00 01 ,,,
84,2023-07-17/f7239ece-8e70-4e5c-85e0-37db4d97fecf_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 14 0C 0B 05 10 00 01 ,,,-1
85,2023-07-17/155b0e5f-7466-4b6d-9395-1d64caaacb87_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 19 0B 24 52 00 01 ,,,-1
86,2023-07-17/9864f127-cf0f-49ed-8e14-6efea31f45a3_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 25 09 0B 00 5F 00 01 ,,,-1
87,2023-07-17/bb8a7b97-0acf-4ef1-befb-eb453402ca55_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 24 14 0B 1D 76 00 01 ,,,-1
88,2023-07-17/5169be24-e0dd-4f53-83a3-5f5638a49a12_f.jpg,-1,-1,1,Heavy Truck,42 52 54 41 FF 02 0F 2D 18 5D 00 01 ,,,-1
89,2023-07-17/c8530e7d-ccf0-493f-9d1c-a0c4a220ae27_f.jpg,১২০,-1,NULL,NULL,42 52 54 41 FF 02 19 13 23 F6 00 01 ,,,১২০
90,2023-07-17/e9fdd1e7-2695-4c4e-b191-357766ae282f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 24 02 BE 00 01 ,,,-1
91,2023-07-17/3737ea9f-3144-45eb-9d12-1ca6a7b2eb0e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 0D 0E 2A 00 01 ,,,-1
92,2023-07-17/4c0793eb-033c-4995-a550-4851850868c3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 0D 0E 2A 00 01 ,,,-1
93,2023-07-17/64f6c7c4-3be6-4f1c-8252-19a75b7038a8_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 02 09 18 1F A4 00 01 ,,,-1
94,2023-07-17/0cb78d44-d763-4d25-9c52-64c0877af32c_f.jpg,-1,-1,1,Others,42 52 54 41 FF 06 0A 0B 00 97 00 01 ,,,-1
95,2023-07-17/6ce35b13-e685-4904-ae60-06e09ed3c760_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 25 13 0B 16 17 00 01 ,,,-1
96,2023-07-17/1a939c86-e9ce-4efe-bae1-10675c7bd79d_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 03 5A 00 01 ,,,-1
97,2023-07-17/4931856d-b105-4ee0-8bd4-3388d0497bad_f.jpg,,-1,1,Medium Truck,42 52 54 41 FF 02 19 33 11 10 00 01 ,,,
98,2023-07-17/a987566c-1578-4042-b4c1-e024eaf3a818_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 22 06 60 00 01 ,,,-1
99,2023-07-17/78075b39-be09-4e3b-8e28-96901378bb56_f.jpg,২৮-৫৬০০,-1,NULL,NULL,42 52 54 41 FF 02 0F 1C 15 E0 00 02 ,,,২৮-৫৬০০
100,2023-07-17/636b242b-9c9e-4217-bd36-400e85161d73_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 0F 1C 15 E0 00 02 ,,,-1
101,2023-07-17/03cd0357-90af-46d0-b227-6174fc219f9e_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 0F 1A 0F B4 00 01 ,,,-1
102,2023-07-17/08739b8f-5d8b-4193-90a4-924c0cb931c8_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 1A 0F B4 00 01 ,,,-1
103,2023-07-17/ee26adcf-0aa2-4bf6-a7b4-91b75819fdda_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 02 1A 15 21 8D 00 01 ,,,
104,2023-07-17/f23e517c-c0b0-4702-ace5-002f31463ab4_f.jpg,-1,-1,NULL,NULL,33 16 1F AB C6 02 00 00 00 30 41 76 ,,,-1
105,2023-07-17/8a2badc1-0f6b-4c3f-9cbd-ff51307f9638_f.jpg,২০ ৭১৫১,-1,207151,Sedan Car,42 52 54 41 FF 02 08 0C 0C 0A 00 01 ,,,২০ ৭১৫১
106,2023-07-17/2da38276-89e9-413b-9677-f2ecad7e9b72_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 13 0B 22 4B 00 01 ,,,-1
107,2023-07-17/77e0519f-68d4-47a9-99bc-2106af0a9f53_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 24 14 0B 0E 98 00 02 ,,,-1
108,2023-07-17/b025dce3-daf5-49a4-ba8a-25aa7454894f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 14 0F 21 E0 00 01 ,,,-1
109,2023-07-17/9202dc58-59e6-49a6-a297-4f4f7927a249_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 21 16 79 00 01 ,,,-1
110,2023-07-17/7844dc92-3412-4993-87d7-38bc486adccc_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 09 0F 0E B0 00 01 ,,,-1
111,2023-07-17/05afd887-0904-4343-96bc-2a9e3ec88fcd_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 15 0E 00 01 ,,,-1
112,2023-07-17/ac3bba6e-a063-49a8-aa1f-d26c550fc2a7_f.jpg,,-1,1,Heavy Truck,42 52 54 41 FF 02 0A 14 20 8F 00 01 ,,,
113,2023-07-17/b5601d8a-455a-46ac-ac99-7dfbd5dc1cd7_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 02 14 3C 0B 27 00 01 ,,,-1
114,2023-07-17/f152468b-5115-4a93-8969-3aded6e73f69_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 44 00 91 00 01 ,,,-1
115,2023-07-17/f2b36619-77e4-439c-a144-fbef429a6746_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 10 12 93 00 01 ,,,-1
116,2023-07-17/870565ca-5f18-48ed-9580-2589f37ecd6b_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 13 0D 16 B5 00 01 ,,,-1
117,2023-07-17/9c092660-d86c-4239-bf2d-138e97ad6c4d_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 1A 0D 1B 59 00 01 ,,,-1
118,2023-07-17/4b593a14-8082-4b01-b1e1-04f4dd45d343_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 17 1F 94 00 01 ,,,-1
119,2023-07-17/bc75325d-eae7-4910-b41e-e387a0e08f3d_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 06 0D 16 F6 00 01 ,,,-1
120,2023-07-17/d6b57192-9047-4ab6-b515-45a3b61c1f9d_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 19 14 17 2D 00 01 ,,,-1
121,2023-07-17/11a5b8eb-f8ac-4948-8a9e-761113b7468d_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 02 0F 17 1B 6C 00 01 ,,,
122,2023-07-17/c74e1809-c383-476d-bb61-2ce3da30300a_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 02 0F 13 08 2D 00 01 ,,,
123,2023-07-17/05382913-71ad-49b3-9513-1a5569a93def_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 19 13 1F F2 00 01 ,,,-1
124,2023-07-17/579e900f-aa55-401d-b846-5472ec93836c_f.jpg,,-1,1,4 Wheelers,42 52 54 41 FF 50 0A 0B 02 28 00 01 ,,,
125,2023-07-17/72307990-98e3-4352-a666-c1bd2098ba0d_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 15 14 0C 0F 83 00 01 ,,,-1
126,2023-07-17/c969261c-97db-4782-a9c9-298487030c54_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 0C 0B 25 39 00 01 ,,,-1
127,2023-07-17/70339d19-8032-4e38-9711-e9c164173077_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 24 14 0B 23 CB 00 01 ,,,-1
128,2023-07-17/3dd36b33-265a-4a36-9d48-58b4915007e1_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 1C 0F E4 00 01 ,,,-1
129,2023-07-17/b8cbc616-9933-4a30-a05d-e91993158312_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 0A 0F 06 CA 00 01 ,,,-1
130,2023-07-17/11ffeded-4cc4-4fac-baee-f847d61ac3ff_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 09 0B 16 48 00 01 ,,,-1
131,2023-07-17/9e9feb91-1aee-4d9f-9e00-1c8a487d90c1_f.jpg,,-1,NULL,NULL,42 52 54 41 FF 02 0F 2A 23 1C 00 01 ,,,
132,2023-07-17/01d18d3a-e73b-4753-b275-be4ca89ce1c1_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 19 14 11 30 00 01 ,,,-1
133,2023-07-17/3f44efa2-e10b-4143-8acb-09e4da68169f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 1A 08 75 00 01 ,,,-1
134,2023-07-17/1c74921e-7fdf-41f2-bea2-a31d9efa9cb1_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 10 13 94 00 01 ,,,-1
135,2023-07-17/f3a9f504-fae5-4a61-9914-b5ee79dec315_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 0E 1A 15 00 01 ,,,-1
136,2023-07-17/a8c724bd-eaba-40b9-b3d8-8fcd138d9522_f.jpg,,-1,1,Big Bus,42 52 54 41 FF 02 1E 0F 0C F6 00 01 ,,,
137,2023-07-17/fd32415f-c990-4e8f-afff-12006ed9da07_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 1E 0B 16 91 00 01 ,,,-1
138,2023-07-17/cbb0a8b0-9f08-4d7f-bbe9-55a1a5417471_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 09 0B 0C FC 00 01 ,,,-1
139,2023-07-17/476e8536-f926-42f9-832b-30e187b3e75e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 0E 18 A4 00 01 ,,,-1
140,2023-07-17/6768cb69-fc9c-44d4-a6a6-a9a8186cc34f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 13 0C 05 EE 00 01 ,,,-1
141,2023-07-17/00adae2d-db0b-4f0d-af43-075403dbe851_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 14 45 0C 78 00 01 ,,,-1
142,2023-07-17/b6ccec34-6127-41aa-92f2-153df6e733c4_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 0C D7 00 01 ,,,-1
