backCamImage,frontCamImage,numberFrontCam,numberBackCam,vehicleNumberUser,vehicleTypeUser,vehicleRfid,metroText,serial,numberFrontCam1
2023-08-03/aa536217-bbbe-4b54-b683-e1185708cfed_b.jpg,2023-08-03/aa536217-bbbe-4b54-b683-e1185708cfed_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 43 13 0D 00 5F 00 01 ,,,-1
2023-08-03/9d901ff8-1c27-4c91-a3b4-e9f165b713ab_b.jpg,2023-08-03/9d901ff8-1c27-4c91-a3b4-e9f165b713ab_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 24 14 0B 22 E1 00 01 ,,,-1
2023-08-03/04d96d0e-7ca0-4e6c-a8a8-8c9458f7a7bd_b.jpg,2023-08-03/04d96d0e-7ca0-4e6c-a8a8-8c9458f7a7bd_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 14 46 25 27 00 01 ,,,-1
2023-08-03/094cade9-9499-44c6-a05a-65e3a1cfc713_b.jpg,2023-08-03/094cade9-9499-44c6-a05a-65e3a1cfc713_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 13 0D 15 C0 00 01 ,,,-1
2023-08-03/fcc19dea-29fb-422c-9b59-f9bfd8ff515c_b.jpg,2023-08-03/fcc19dea-29fb-422c-9b59-f9bfd8ff515c_f.jpg,-1,-1,NULL,NULL,30 35 8B 01 AC 00 00 04 BF E0 2B 4E ,,,-1
2023-08-03/78282379-25cc-43b7-a573-7c5c63652a75_b.jpg,2023-08-03/78282379-25cc-43b7-a573-7c5c63652a75_f.jpg,১২-৩৫৩৬,-1,123536,Sedan Car,30 35 8B 01 AC 00 00 04 BF E0 2B 4E ,,,১২-৩৫৩৬
2023-08-03/a468e96f-5d03-4029-9558-336b5aff59f4_b.jpg,2023-08-03/a468e96f-5d03-4029-9558-336b5aff59f4_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 14 22 6A 00 01 ,,,-1
2023-08-03/05b01bc7-e7d3-45fb-9bb4-d382badd50b3_b.jpg,2023-08-03/05b01bc7-e7d3-45fb-9bb4-d382badd50b3_f.jpg,-1,-1,NULL,NULL,42 52 54 51 FF 02 1A 12 0E 16 00 01 ,,,-1
2023-08-03/5abda0ac-cf96-4616-a4d7-58f6c53bd1c7_b.jpg,2023-08-03/5abda0ac-cf96-4616-a4d7-58f6c53bd1c7_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 21 15 CD 00 01 ,,,-1
2023-08-03/0a2619b7-7963-47d4-b14d-03ea0a3cb7b0_b.jpg,2023-08-03/0a2619b7-7963-47d4-b14d-03ea0a3cb7b0_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 0F 0E 13 3B 00 01 ,,,-1
2023-08-03/3305d7b0-5ab5-40e4-a61e-3982104bfa75_b.jpg,2023-08-03/3305d7b0-5ab5-40e4-a61e-3982104bfa75_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 27 03 8A 00 01 ,,,-1
2023-08-03/14550e21-32ac-4038-9b4d-6e8ceb4ef3de_b.jpg,2023-08-03/14550e21-32ac-4038-9b4d-6e8ceb4ef3de_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 0A 12 16 FB 00 01 ,,,-1
2023-08-03/5ff67f54-5c81-4242-b6bc-1bd3369f84fc_b.jpg,2023-08-03/5ff67f54-5c81-4242-b6bc-1bd3369f84fc_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 37 03 7D 00 01 ,,,-1
2023-08-03/2c824ded-6bba-4323-b7c3-20923deb5b6c_b.jpg,2023-08-03/2c824ded-6bba-4323-b7c3-20923deb5b6c_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 13 13 0C 04 A2 00 01 ,,,-1
2023-08-03/19830c14-7aa6-4c73-b9b1-1517de009bb8_b.jpg,2023-08-03/19830c14-7aa6-4c73-b9b1-1517de009bb8_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 1A 0F 0C 2F 00 01 ,,,-1
2023-08-03/cdba9309-167e-4215-8fd5-b6f8f03bc082_b.jpg,2023-08-03/cdba9309-167e-4215-8fd5-b6f8f03bc082_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 13 13 0C 04 A2 00 01 ,,,-1
2023-08-03/6ac35179-0598-4b96-b426-596157e12aa4_b.jpg,2023-08-03/6ac35179-0598-4b96-b426-596157e12aa4_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 05 33 15 1A 00 01 ,,,-1
2023-08-03/c8966f76-64b2-4da6-b794-21d60616b14d_b.jpg,2023-08-03/c8966f76-64b2-4da6-b794-21d60616b14d_f.jpg,,-1,1,Sedan Car,E2 80 69 95 00 00 40 00 7F 17 3D D3 ,,,
2023-08-03/113497de-74f0-4a52-9eaa-add740bb43ab_b.jpg,2023-08-03/113497de-74f0-4a52-9eaa-add740bb43ab_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 13 CB 00 01 ,,,-1
2023-08-03/17e7d80d-8a8a-45a6-aa81-2fd6ea16f35f_b.jpg,2023-08-03/17e7d80d-8a8a-45a6-aa81-2fd6ea16f35f_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 43 13 0D 07 16 00 01 ,,,-1
2023-08-03/733bb964-5f35-429a-9e1e-85d1712e807c_b.jpg,2023-08-03/733bb964-5f35-429a-9e1e-85d1712e807c_f.jpg,১৯-০১৭৬,-1,190176,4 Wheelers,42 52 54 41 FF 02 19 13 00 B0 00 01 ,,,১৯-০১৭৬
2023-08-03/581bacca-f957-4d2a-8bb6-d71fef8222a0_b.jpg,2023-08-03/581bacca-f957-4d2a-8bb6-d71fef8222a0_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 24 13 0B 10 9B 00 01 ,,,
2023-08-03/78d926ee-901e-46a1-bb29-c702524ffecf_b.jpg,2023-08-03/78d926ee-901e-46a1-bb29-c702524ffecf_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 06 13 0B 06 AA 00 01 ,,,-1
2023-08-03/d48d62fd-f019-4df7-8bdb-47a1d7f73bcd_b.jpg,2023-08-03/d48d62fd-f019-4df7-8bdb-47a1d7f73bcd_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 13 0F 02 1D 00 01 ,,,-1
2023-08-03/ff45c953-be87-4815-9537-c92994e12dde_b.jpg,2023-08-03/ff45c953-be87-4815-9537-c92994e12dde_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 13 0E 1A E1 00 01 ,,,-1
2023-08-03/1ca80422-c7a8-4df3-b449-5e7351e48849_b.jpg,2023-08-03/1ca80422-c7a8-4df3-b449-5e7351e48849_f.jpg,৩-8১০8,-1,34104,Motorcycle,42 52 54 41 FF 14 13 0D 20 BF 00 01 ,,,৩-8১০8
2023-08-03/a814c240-0c60-40fe-9c2d-d114e202092b_b.jpg,2023-08-03/a814c240-0c60-40fe-9c2d-d114e202092b_f.jpg,-1,চাডান খ,,Sedan Car,42 52 54 41 FF 02 1A 12 20 C6 00 01 ,,,-1
2023-08-03/a6eab1d8-61c2-49dd-bd95-1c464bde78c1_b.jpg,2023-08-03/a6eab1d8-61c2-49dd-bd95-1c464bde78c1_f.jpg,১৯-৩১৩৮,-1,193138,Sedan Car,42 52 54 41 FF 23 14 0B 14 46 00 01 ,,,১৯-৩১৩৮
2023-08-03/d9aa7e4d-9ad9-4082-ba1f-b6551437cf36_b.jpg,2023-08-03/d9aa7e4d-9ad9-4082-ba1f-b6551437cf36_f.jpg,১৭-৪৮০৩,-1,17803,Sedan Car,42 52 54 41 FF 02 13 3B 1A BB 00 01 ,,,১৭-৪৮০৩
2023-08-03/b1479d8a-1ecc-43fd-a629-f9817767e069_b.jpg,2023-08-03/b1479d8a-1ecc-43fd-a629-f9817767e069_f.jpg,চঢ্ঢো;,-1,NULL,NULL,42 52 54 41 FF 08 10 0B 09 DB 00 01 ,,,চঢ্ঢো;
2023-08-03/969b8de7-b770-4018-8631-c802c6170bd8_b.jpg,2023-08-03/969b8de7-b770-4018-8631-c802c6170bd8_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 1E 0F 24 A5 00 01 ,,,-1
2023-08-03/fc4610a4-e91b-465f-889a-1ba6967ded4f_b.jpg,2023-08-03/fc4610a4-e91b-465f-889a-1ba6967ded4f_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 06 14 0C 19 40 00 01 ,,,-1
2023-08-03/d20b0ffb-3dee-4a00-b65e-0b1db989c7a6_b.jpg,2023-08-03/d20b0ffb-3dee-4a00-b65e-0b1db989c7a6_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 18 07 70 00 01 ,,,-1
2023-08-03/3083b35c-5df6-48f7-a157-b4977ab176a1_b.jpg,2023-08-03/3083b35c-5df6-48f7-a157-b4977ab176a1_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 1A 15 05 6B 00 01 ,,,-1
2023-08-03/01cadc25-f633-4111-ac9c-714fac5baaeb_b.jpg,2023-08-03/01cadc25-f633-4111-ac9c-714fac5baaeb_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 3B 1F F3 00 01 ,,,-1
2023-08-03/febdd7c7-60fb-471c-af10-f7e23b09e32d_b.jpg,2023-08-03/febdd7c7-60fb-471c-af10-f7e23b09e32d_f.jpg,১৮-৩৬০,-1,NULL,NULL,42 52 54 51 FF 02 1A 12 0E 16 00 01 ,,,১৮-৩৬০
2023-08-03/604d7d02-bc4c-465d-97d4-3b833eb3e31a_b.jpg,2023-08-03/604d7d02-bc4c-465d-97d4-3b833eb3e31a_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 1A 12 0E 16 00 01 ,,,-1
2023-08-03/fdfdde30-05de-426e-a208-970f072106f3_b.jpg,2023-08-03/fdfdde30-05de-426e-a208-970f072106f3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 14 0B 23 FF 00 01 ,,,-1
2023-08-03/8c7b3b76-04e8-4e73-837f-7166a9832629_b.jpg,2023-08-03/8c7b3b76-04e8-4e73-837f-7166a9832629_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 24 13 0B 08 1B 00 01 ,,,-1
2023-08-03/22d8235a-9d4e-4b36-85a8-2d01a358efca_b.jpg,2023-08-03/22d8235a-9d4e-4b36-85a8-2d01a358efca_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 06 14 0C 0D F2 00 01 ,,,-1
2023-08-03/7aa3807e-cc8d-4314-9392-88fa96f0fe64_b.jpg,2023-08-03/7aa3807e-cc8d-4314-9392-88fa96f0fe64_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 3E 12 F2 00 01 ,,,-1
2023-08-03/140247f6-2cc6-473a-ac8d-0047c21387db_b.jpg,2023-08-03/140247f6-2cc6-473a-ac8d-0047c21387db_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 14 0C 16 3D 00 01 ,,,-1
2023-08-03/17a48c05-632b-471c-9510-220e00a181e2_b.jpg,2023-08-03/17a48c05-632b-471c-9510-220e00a181e2_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 06 0D 0D D3 00 01 ,,,-1
2023-08-03/53663926-8b5d-48c7-8e03-e5c6e7fd39d1_b.jpg,2023-08-03/53663926-8b5d-48c7-8e03-e5c6e7fd39d1_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 14 0C 16 3D 00 01 ,,,-1
2023-08-03/a2e72ad9-9ece-4fcb-ae86-442b27dd16b5_b.jpg,2023-08-03/a2e72ad9-9ece-4fcb-ae86-442b27dd16b5_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 06 14 0C 24 21 00 01 ,,,-1
,2023-08-03/58acaf65-6834-4c94-a6a1-3f71fc0b3345_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 10 0C 02 DC 00 01 ,,,-1
2023-08-03/2ca5869b-d986-423d-98d4-18d3e8065318_b.jpg,2023-08-03/2ca5869b-d986-423d-98d4-18d3e8065318_f.jpg,৩৭-৫৫৬8,-1,375564,Sedan Car,42 52 54 41 FF 02 0F 25 15 BC 00 01 ,,,৩৭-৫৫৬8
2023-08-03/8b9dd724-b9f8-4e09-bec6-22a42e8726ef_b.jpg,2023-08-03/8b9dd724-b9f8-4e09-bec6-22a42e8726ef_f.jpg,-1,-1,1,Others,42 52 54 41 FF 37 13 0B 11 84 00 01 ,,,-1
2023-08-03/a83588d5-83c7-4222-a588-182e09f95fe4_b.jpg,2023-08-03/a83588d5-83c7-4222-a588-182e09f95fe4_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 22 13 0B 1C EF 00 01 ,,,-1
2023-08-03/37fd4291-939a-4c07-bd5f-598cd71c5b62_b.jpg,2023-08-03/37fd4291-939a-4c07-bd5f-598cd71c5b62_f.jpg,৫১-৯৩১৫,-1,519315,4 Wheelers,42 52 54 41 FF 02 05 33 24 63 00 01 ,,,৫১-৯৩১৫
2023-08-03/0aac5b1a-1c4d-48e8-80e4-c394e11da390_b.jpg,2023-08-03/0aac5b1a-1c4d-48e8-80e4-c394e11da390_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 24 14 0B 25 E8 00 01 ,,,-1
2023-08-03/8ede48ef-3200-4935-995c-afa3dd60258d_b.jpg,2023-08-03/8ede48ef-3200-4935-995c-afa3dd60258d_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 0A 13 01 E2 00 01 ,,,-1
2023-08-03/47d9e0f1-7b04-4879-9df5-6de531e6dbdd_b.jpg,2023-08-03/47d9e0f1-7b04-4879-9df5-6de531e6dbdd_f.jpg,-1,-1,1,Others,42 52 54 C1 FF 02 13 22 17 C8 00 01 ,,,-1
2023-08-03/3edaa5f2-7b3f-4397-9d7a-9c738d4729f3_b.jpg,2023-08-03/3edaa5f2-7b3f-4397-9d7a-9c738d4729f3_f.jpg,-1,-1,1,Others,E2 00 00 15 35 06 02 31 25 40 16 16 ,,,-1
2023-08-03/c2933821-562c-4c23-8f11-bb369799ada3_b.jpg,2023-08-03/c2933821-562c-4c23-8f11-bb369799ada3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 2E 19 5B 00 01 ,,,-1
2023-08-03/891ba528-1df1-40df-a92b-b5c0d6f40a02_b.jpg,2023-08-03/891ba528-1df1-40df-a92b-b5c0d6f40a02_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 37 14 0B 16 39 00 01 ,,,-1
2023-08-03/14ad425c-63b4-42dd-b048-462af8cfb544_b.jpg,2023-08-03/14ad425c-63b4-42dd-b048-462af8cfb544_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 37 13 0B 03 41 00 01 ,,,-1
2023-08-03/63df64d6-2c28-477e-ba1c-faa689e18d94_b.jpg,2023-08-03/63df64d6-2c28-477e-ba1c-faa689e18d94_f.jpg,৭-৭৯৯৪,-1,7799,Sedan Car,42 52 54 41 FF 02 0F 1B 1F 3A 00 01 ,,,৭-৭৯৯৪
2023-08-03/e300ced2-9263-4ed1-ba5c-f530298c0c2c_b.jpg,2023-08-03/e300ced2-9263-4ed1-ba5c-f530298c0c2c_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 37 13 0B 12 41 00 01 ,,,-1
2023-08-03/4507c6f0-df74-4b24-a0e6-c44d940fac2d_b.jpg,2023-08-03/4507c6f0-df74-4b24-a0e6-c44d940fac2d_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 14 12 0C AD 00 01 ,,,-1
2023-08-03/a5e5d59a-1890-4038-849c-c4fba9a82d8a_b.jpg,2023-08-03/a5e5d59a-1890-4038-849c-c4fba9a82d8a_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 19 13 0B 01 0D 00 01 ,,,-1
2023-08-03/39f5caca-d76a-4085-a4d7-0d2e437d0488_b.jpg,2023-08-03/39f5caca-d76a-4085-a4d7-0d2e437d0488_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 09 0B 14 EC 00 01 ,,,-1
2023-08-03/c613fa32-b8dc-445f-853a-b594f650c87e_b.jpg,2023-08-03/c613fa32-b8dc-445f-853a-b594f650c87e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 14 0C 06 F0 00 01 ,,,-1
2023-08-03/a9c55afd-9053-4b4c-a7f7-0a7290f69504_b.jpg,2023-08-03/a9c55afd-9053-4b4c-a7f7-0a7290f69504_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 37 13 0B 0A 01 00 01 ,,,-1
2023-08-03/1db254e0-c54e-400f-9df6-0832b91a4de1_b.jpg,2023-08-03/1db254e0-c54e-400f-9df6-0832b91a4de1_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 10 12 39 00 01 ,,,-1
2023-08-03/660e153e-8808-42e8-8c41-936e50b81177_b.jpg,2023-08-03/660e153e-8808-42e8-8c41-936e50b81177_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 35 13 0B 17 56 00 02 ,,,-1
2023-08-03/00fc0907-f37a-4d4d-bfe7-2f0de2eb394b_b.jpg,2023-08-03/00fc0907-f37a-4d4d-bfe7-2f0de2eb394b_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 13 0C 03 17 00 01 ,,,-1
2023-08-03/d29db9dc-ee35-4af9-ad43-413cd799ef80_b.jpg,2023-08-03/d29db9dc-ee35-4af9-ad43-413cd799ef80_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 3D 1F F3 00 01 ,,,-1
2023-08-03/a91c7a4c-62e6-45eb-b7a2-5ab5f5c0ce6c_b.jpg,2023-08-03/a91c7a4c-62e6-45eb-b7a2-5ab5f5c0ce6c_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 24 13 0B 0F D5 00 01 ,,,-1
2023-08-03/baac19ea-68ee-4eb7-84f9-c62fa37c973f_b.jpg,2023-08-03/baac19ea-68ee-4eb7-84f9-c62fa37c973f_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 1F 0D 04 82 00 01 ,,,-1
2023-08-03/85a39308-dc9e-431e-980c-e418a99a8d58_b.jpg,2023-08-03/85a39308-dc9e-431e-980c-e418a99a8d58_f.jpg,-1,-1,1,3/4 Wheelers Motorized,42 52 54 41 FF 02 14 44 00 91 00 01 ,,,-1
2023-08-03/9b3da8fa-1dc6-43ca-8762-464b79cd4950_b.jpg,2023-08-03/9b3da8fa-1dc6-43ca-8762-464b79cd4950_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 1A 0F 1E 12 00 01 ,,,-1
2023-08-03/550eed68-02e6-4b85-b075-66106c7aceb5_b.jpg,2023-08-03/550eed68-02e6-4b85-b075-66106c7aceb5_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 13 0F 1C EA 00 01 ,,,-1
2023-08-03/1e5528e4-df04-4443-a5c2-bd21dac27a92_b.jpg,2023-08-03/1e5528e4-df04-4443-a5c2-bd21dac27a92_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 12 55 00 01 ,,,-1
2023-08-03/1c236c42-e2d6-48fe-be5a-1262cc6dec14_b.jpg,2023-08-03/1c236c42-e2d6-48fe-be5a-1262cc6dec14_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 14 0C 04 9B 00 01 ,,,-1
2023-08-03/fe6f7ec4-0e04-4347-81ea-b3a8cb2dc54d_b.jpg,2023-08-03/fe6f7ec4-0e04-4347-81ea-b3a8cb2dc54d_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 15 24 FA 00 01 ,,,-1
2023-08-03/27ec992f-fe3e-4023-b10a-69c215e23cfb_b.jpg,2023-08-03/27ec992f-fe3e-4023-b10a-69c215e23cfb_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 14 0C 0B 05 34 00 01 ,,,-1
2023-08-03/fe226684-a3a0-419f-bf11-bff7286ce771_b.jpg,2023-08-03/fe226684-a3a0-419f-bf11-bff7286ce771_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 1F 1B B4 00 01 ,,,-1
2023-08-03/59b0714c-3c61-4406-be30-b4801d373baa_b.jpg,2023-08-03/59b0714c-3c61-4406-be30-b4801d373baa_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 0F 1F 1B B4 00 01 ,,,-1
2023-08-03/906f98c1-5843-4520-a200-d2f389d6e29b_b.jpg,2023-08-03/906f98c1-5843-4520-a200-d2f389d6e29b_f.jpg,১১-১৩৩২,-1,111332,Motorcycle,42 52 54 41 FF 02 13 1F 0E AF 00 01 ,,,১১-১৩৩২
2023-08-03/45932ce7-ed91-497d-b24c-c6638df9823a_b.jpg,2023-08-03/45932ce7-ed91-497d-b24c-c6638df9823a_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 14 0E 12 1D 00 01 ,,,-1
2023-08-03/088edb3b-0d67-44ac-a0b5-fdbac8a4bac4_b.jpg,2023-08-03/088edb3b-0d67-44ac-a0b5-fdbac8a4bac4_f.jpg,-1,-1,1,Heavy Truck,42 52 54 41 FF 02 0F 2A 1F 4A 00 02 ,,,-1
2023-08-03/46a60b2c-6af5-4908-8427-ba99d605914c_b.jpg,2023-08-03/46a60b2c-6af5-4908-8427-ba99d605914c_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 13 0E 10 FE 00 01 ,,,-1
2023-08-03/813c3373-5c12-4815-b3dd-6e1b1badef51_b.jpg,2023-08-03/813c3373-5c12-4815-b3dd-6e1b1badef51_f.jpg,-1,,NULL,NULL,42 52 54 41 FF 24 14 0B 20 EB 00 01 ,,,-1
2023-08-03/5084c27d-8fc2-430b-8f37-5b52f709630c_b.jpg,2023-08-03/5084c27d-8fc2-430b-8f37-5b52f709630c_f.jpg,২৭-৬৪৭১,-1,27671,Sedan Car,42 52 54 41 FF 02 0F 1B 19 47 00 01 ,,,২৭-৬৪৭১
2023-08-03/a675d2b9-51b3-4740-87ac-502412cfccd3_b.jpg,2023-08-03/a675d2b9-51b3-4740-87ac-502412cfccd3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 14 0C 07 49 00 01 ,,,-1
2023-08-03/b86b8c1c-0b31-4a9c-aed5-78eb771d75c6_b.jpg,2023-08-03/b86b8c1c-0b31-4a9c-aed5-78eb771d75c6_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 2D 10 D2 00 01 ,,,-1
2023-08-03/8ea65b3b-9249-4f0c-b235-e1f99371c22d_b.jpg,2023-08-03/8ea65b3b-9249-4f0c-b235-e1f99371c22d_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 43 09 0B 08 76 00 01 ,,,-1
2023-08-03/bcc3b78c-60f8-4a5e-878b-d8d35283f275_b.jpg,2023-08-03/bcc3b78c-60f8-4a5e-878b-d8d35283f275_f.jpg,,-1,1,Heavy Truck,42 52 54 41 FF 02 06 0F 05 BF 00 01 ,,,
2023-08-03/210721ee-9c84-406f-bde5-ecfd5546e524_b.jpg,2023-08-03/210721ee-9c84-406f-bde5-ecfd5546e524_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 09 16 22 DF 00 01 ,,,-1
2023-08-03/68570304-f020-45cf-881c-282c9808d2a9_b.jpg,2023-08-03/68570304-f020-45cf-881c-282c9808d2a9_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 14 13 17 6A 00 01 ,,,-1
2023-08-03/0e35e999-c537-4007-acfd-5525e5221e7e_b.jpg,2023-08-03/0e35e999-c537-4007-acfd-5525e5221e7e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0A 13 1B 3F 00 01 ,,,-1
2023-08-03/15215f39-fdd2-453f-a103-fc69c242b4f5_b.jpg,2023-08-03/15215f39-fdd2-453f-a103-fc69c242b4f5_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 08 0B 0B 04 4B 00 01 ,,,-1
2023-08-03/e4497019-79c5-4945-a69e-2e0d0c4164ee_b.jpg,2023-08-03/e4497019-79c5-4945-a69e-2e0d0c4164ee_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 09 77 00 01 ,,,-1
2023-08-03/a1026e3f-40eb-4825-86e9-737b899e4046_b.jpg,2023-08-03/a1026e3f-40eb-4825-86e9-737b899e4046_f.jpg,২৫-৪৬০১,-1,25601,Sedan Car,42 52 54 41 FF 02 0F 19 11 F9 00 01 ,,,২৫-৪৬০১
2023-08-03/ce820441-3f70-44a7-a8d0-cc3927d693d0_b.jpg,2023-08-03/ce820441-3f70-44a7-a8d0-cc3927d693d0_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 11 94 00 01 ,,,-1
2023-08-03/3b009745-a608-40a5-aaa4-a7b4315ed2db_b.jpg,2023-08-03/3b009745-a608-40a5-aaa4-a7b4315ed2db_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 19 21 45 00 01 ,,,-1
2023-08-03/3abff745-e340-458c-a817-5f1f88674c45_b.jpg,2023-08-03/3abff745-e340-458c-a817-5f1f88674c45_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 1E 0D 09 CB 00 01 ,,,-1
2023-08-03/df86e132-6f17-42fc-b89c-3ade1eafbf79_b.jpg,2023-08-03/df86e132-6f17-42fc-b89c-3ade1eafbf79_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 13 0D 1F 8E 00 01 ,,,-1
2023-08-03/44fa96e8-0472-4a90-b153-67dd8c9f8fc8_b.jpg,2023-08-03/44fa96e8-0472-4a90-b153-67dd8c9f8fc8_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 35 14 0C 01 C7 00 01 ,,,-1
2023-08-03/d055eafe-6ea6-4d07-8fb7-430384d920b6_b.jpg,2023-08-03/d055eafe-6ea6-4d07-8fb7-430384d920b6_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 14 0C 17 D1 00 01 ,,,-1
,2023-08-03/aed2a0f3-f0f2-4ab9-b076-b504517c45d2_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 3F 13 0B 06 1E 00 01 ,,,-1
2023-08-03/f07b86ce-7057-4afd-889d-989c9462993a_b.jpg,2023-08-03/f07b86ce-7057-4afd-889d-989c9462993a_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 07 47 0D 60 00 01 ,,,-1
2023-08-03/afb060d1-f991-41ec-aeff-de93c271ce24_b.jpg,2023-08-03/afb060d1-f991-41ec-aeff-de93c271ce24_f.jpg,-1,,NULL,NULL,42 52 54 41 FF 24 14 0C 00 2E 00 01 ,,,-1
2023-08-03/60101723-7fc3-4ff2-9aac-9484e059a03d_b.jpg,2023-08-03/60101723-7fc3-4ff2-9aac-9484e059a03d_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 00 C9 00 01 ,,,-1
2023-08-03/f4953ba7-f14d-4b4c-9ba6-1d51a4830366_b.jpg,2023-08-03/f4953ba7-f14d-4b4c-9ba6-1d51a4830366_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 24 14 0B 19 9D 00 01 ,,,-1
2023-08-03/8a7a5e65-684c-4606-8cff-f41e3d352c0e_b.jpg,2023-08-03/8a7a5e65-684c-4606-8cff-f41e3d352c0e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 13 0C 0C 7A 00 01 ,,,-1
